Rank,Club,Country,Level,Elo,From,To
1,Man City,ENG,1,2065.76342773,2023-10-09,2023-10-21
2,Liverpool,ENG,1,1954.80554199,2023-10-09,2023-10-21
3,Real Madrid,ESP,1,1945.73144531,2023-10-08,2023-10-21
4,Bayern,GER,1,1944.23168945,2023-10-09,2023-10-21
5,Arsenal,ENG,1,1932.3659668,2023-10-09,2023-10-21
6,Inter,ITA,1,1901.99902344,2023-10-08,2023-10-21
7,Barcelona,ESP,1,1895.61181641,2023-10-09,2023-10-22
8,Newcastle,ENG,1,1887.47802734,2023-10-09,2023-10-21
9,Napoli,ITA,1,1878.79382324,2023-10-09,2023-10-21
10,Atletico,ESP,1,1877.47460938,2023-10-09,2023-10-21
11,Milan,ITA,1,1863.65075684,2023-10-08,2023-10-22
12,Tottenham,ENG,1,1858.54956055,2023-10-08,2023-10-23
13,Dortmund,GER,1,1837.6159668,2023-10-09,2023-10-20
14,Aston Villa,ENG,1,1836.8215332,2023-10-09,2023-10-22
15,RB Leipzig,GER,1,1831.09887695,2023-10-08,2023-10-21
16,Man United,ENG,1,1822.99707031,2023-10-08,2023-10-21
17,Paris SG,FRA,1,1821.55273438,2023-10-09,2023-10-21
18,Brighton,ENG,1,1819.82458496,2023-10-09,2023-10-21
19,Juventus,ITA,1,1815.3770752,2023-10-09,2023-10-22
20,Sociedad,ESP,1,1810.11755371,2023-10-09,2023-10-21
21,Porto,POR,1,1808.6661377,2023-10-09,2023-10-25
22,West Ham,ENG,1,1805.86169434,2023-10-09,2023-10-22
23,Leverkusen,GER,1,1797.8112793,2023-10-09,2023-10-21
24,Benfica,POR,1,1788.91345215,2023-10-08,2023-10-24
25,Brentford,ENG,1,1786.76477051,2023-10-08,2023-10-21
26,Chelsea,ENG,1,1782.07165527,2023-10-09,2023-10-21
27,Fiorentina,ITA,1,1778.18969727,2023-10-09,2023-10-23
28,Atalanta,ITA,1,1777.12438965,2023-10-09,2023-10-22
29,Roma,ITA,1,1776.32006836,2023-10-09,2023-10-22
30,Lazio,ITA,1,1774.95544434,2023-10-09,2023-10-21
31,PSV,NED,1,1774.88879395,2023-10-09,2023-10-24
32,Feyenoord,NED,1,1765.99755859,2023-10-09,2023-10-25
33,Crystal Palace,ENG,1,1759.27038574,2023-10-08,2023-10-21
34,Sporting,POR,1,1753.04150391,2023-10-09,2023-10-26
35,Leicester,ENG,2,1747.39733887,2023-10-08,2023-10-30
36,Sevilla,ESP,1,1741.36279297,2023-10-08,2023-10-21
37,Lens,FRA,1,1738.26928711,2023-10-09,2023-10-20
38,Betis,ESP,1,1737.42858887,2023-10-09,2023-10-21
39,Bilbao,ESP,1,1731.45202637,2023-10-09,2023-10-22
40,Girona,ESP,1,1730.35778809,2023-10-09,2023-10-22
41,Fulham,ENG,1,1728.21533203,2023-10-09,2023-10-23
42,Fenerbahce,TUR,1,1726.95166016,2023-10-09,2023-10-30
43,Bologna,ITA,1,1722.20422363,2023-10-09,2023-10-22
44,Galatasaray,TUR,1,1721.78845215,2023-10-09,2023-10-24
45,Villarreal,ESP,1,1721.3359375,2023-10-09,2023-10-22
46,Salzburg,AUT,1,1714.01538086,2023-10-09,2023-10-24
47,Wolves,ENG,1,1712.1887207,2023-10-09,2023-10-21
48,Freiburg,GER,1,1707.75915527,2023-10-09,2023-10-21
49,Wolfsburg,GER,1,1706.28552246,2023-10-09,2023-10-21
50,Rennes,FRA,1,1702.8536377,2023-10-09,2023-10-22
51,Marseille,FRA,1,1697.55444336,2023-10-09,2023-10-21
52,Monaco,FRA,1,1696.92578125,2023-10-09,2023-10-22
53,Frankfurt,GER,1,1694.96118164,2023-10-09,2023-10-21
54,Nice,FRA,1,1692.34924316,2023-10-09,2023-10-21
55,Lille,FRA,1,1691.53234863,2023-10-09,2023-10-22
56,Stuttgart,GER,1,1690.34069824,2023-10-09,2023-10-21
57,Torino,ITA,1,1687.63562012,2023-10-08,2023-10-21
58,Everton,ENG,1,1687.62145996,2023-10-08,2023-10-21
59,Forest,ENG,1,1683.44189453,2023-10-08,2023-10-21
60,Union Berlin,GER,1,1683.09924316,2023-10-08,2023-10-21
61,Burnley,ENG,1,1680.64453125,2023-10-08,2023-10-21
62,Monza,ITA,1,1677.44091797,2023-10-09,2023-10-22
63,Hoffenheim,GER,1,1674.22692871,2023-10-09,2023-10-21
64,Braga,POR,1,1672.7331543,2023-10-09,2023-10-24
65,Zenit,RUS,1,1671.33789062,2023-10-09,2023-10-30
66,Valencia,ESP,1,1670.89001465,2023-10-09,2023-10-23
67,St Gillis,BEL,1,1666.84057617,2023-10-09,2023-10-26
68,Osasuna,ESP,1,1666.00524902,2023-10-09,2023-10-20
69,Getafe,ESP,1,1662.75439453,2023-10-09,2023-10-21
70,Sassuolo,ITA,1,1662.43383789,2023-10-09,2023-10-21
71,Gladbach,GER,1,1661.28723145,2023-10-09,2023-10-22
72,Alkmaar,NED,1,1659.51525879,2023-10-09,2023-10-30
73,Ajax,NED,1,1653.31408691,2023-10-09,2023-10-26
